airport_ident,length__meters,width__meters,le_ident,le_heading_degT,le_displaced_threshold__meters,he_ident,he_heading_degT,he_displaced_threshold__meters,le_latitude_deg,le_longitude_deg,he_latitude_deg,he_longitude_deg
KFAR,2743,46,18,180,0,36,360,0,46.932899475097656,-96.81610107421875,46.908199310302734,-96.81639862060547
KFAT,2809,46,11L,125,0,29R,305,95,36.78350067138672,-119.72899627685547,36.768798828125,-119.7040023803711
KFAT,2196,30,11R,125,441,29L,305,0,36.78200149536133,-119.7300033569336,36.77050018310547,-119.70999908447266
KFAY,2351,46,04,31,152,22,211,215,34.98429870605469,-78.88700103759766,35.002498626708984,-78.87370300292969
KFDY,1793,30,07,69,99,25,249,305,41.01139831542969,-83.68119812011719,41.01729965209961,-83.66130065917969
KFDY,1981,30,18,180,0,36,0,0,41.018798828125,-83.66609954833984,41.000999450683594,-83.66629791259766
KFFO,3841,91,05L,49,0,23R,229,0,39.81489944458008,-84.06510162353516,39.83760070800781,-84.03130340576172
KFFO,2134,46,05R,49,0,23L,229,0,39.81909942626953,-84.05169677734375,39.8317985534668,-84.03289794921875
KFFX,1981,30,18,179,305,36,359,0,43.44580078125,-85.99659729003906,43.428001403808594,-85.99639892578125
KFHU,3658,46,08,90,0,26,270,0,31.587600708007812,-110.36699676513672,31.587600708007812,-110.3290023803711
KFLD,1811,30,18,180,0,36,360,0,43.77909851074219,-88.48619842529297,43.76279830932617,-88.48619842529297
KFLG,2133,46,03,41,0,21,221,0,35.13119888305664,-111.67900085449219,35.14569854736328,-111.66400146484375
KFLL,2743,46,10L,90,176,28R,270,184,26.076900482177734,-80.16649627685547,26.076799392700195,-80.13909912109375
KFLL,2438,46,10R,90,0,28L,270,0,26.065885543823242,-80.1583480834961,26.06574249267578,-80.13398742675781
KFLL,2112,46,13,135,0,31,315,21,26.078899383544922,-80.160400390625,26.06529998779297,-80.14559936523438
KFLO,1828,46,01,2,0,19,182,0,34.17610168457031,-79.72480010986328,34.192501068115234,-79.72429656982422
KFLO,1981,46,09,84,0,27,264,0,34.185298919677734,-79.73390197753906,34.187400817871094,-79.71260070800781
KFLV,1800,30,15,159,179,33,339,0,39.37590026855469,-94.91840362548828,39.36069869995117,-94.91100311279297
KFMH,2438,61,05,38,0,23,218,0,41.650001525878906,-70.53060150146484,41.66709899902344,-70.51219940185547
KFMH,2896,61,14,127,0,32,307,0,41.667301177978516,-70.53880310058594,41.6515007019043,-70.51119995117188
KFMN,1981,46,05,65,0,23,245,38,36.737300872802734,-108.24099731445312,36.744998931884766,-108.22100067138672
KFMN,2043,30,07,88,73,25,268,57,36.7411003112793,-108.23999786376953,36.741600036621094,-108.21700286865234
KFMY,1953,46,05,48,140,23,228,122,26.579999923706055,-81.87110137939453,26.591800689697266,-81.85659790039062
KFNL,2591,30,15,160,0,33,340,0,40.46229934692383,-105.01699829101562,40.44029998779297,-105.00700378417969
KFNT,2195,46,09,88,0,27,268,0,42.96900177001953,-83.75980377197266,42.969600677490234,-83.73290252685547
KFNT,2392,46,18,179,61,36,359,0,42.97269821166992,-83.74349975585938,42.95119857788086,-83.74299621582031
KFOD,1996,46,06,65,0,24,245,0,42.54759979248047,-94.20570373535156,42.555198669433594,-94.18370056152344
KFOE,2134,46,03,40,0,21,220,0,38.940399169921875,-95.67310333251953,38.955101013183594,-95.65740203857422
KFOE,3902,61,13,137,0,31,317,0,38.965599060058594,-95.6780014038086,38.93980026245117,-95.64739990234375
KFOK,2743,46,06,42,0,24,222,0,40.83620071411133,-72.63899993896484,40.85449981689453,-72.61699676513672
KFPR,1979,46,10R,90,0,28L,270,0,27.497299194335938,-80.37940216064453,27.497100830078125,-80.3593978881836
KFRG,2081,46,14,132,201,32,312,0,40.73460006713867,-73.42169952392578,40.72200012207031,-73.40350341796875
KFSD,2743,46,03,35,0,21,215,0,43.572601318359375,-96.75370025634766,43.592899322509766,-96.73429870605469
KFSD,2438,46,15,155,0,33,335,0,43.593101501464844,-96.74610137939453,43.57320022583008,-96.7332992553711
